"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"43","165.6216799876115","104.27550193201407","0.119140625","0.1171875","0.12109375","1560","0.0008434667348234038","24","0.0008434667348234038","0","0.0008434667348234038","0.0008434667348234038","42:68;56:68;44:68","42:0.0059430970555686136;56:0.0050400049397820446;44:0.02259637649332863","42:0.007482545105149174;56:0.005793741016838605;44:0.029309077780182075","0.119140625","Yes"
"44","137.68020083993525","130.5928317706617","0.0078125","0.00830078125","0.005615234375","1560","0.00044894384963259165","24","0.00044894384963259165","0","0.00044894384963259165","0.00044894384963259165","45:68;43:68","45:0.002059058721773227;43:0.02259637649332863","45:0.0019059865958519218;43:0.029309077780182075","0.0078125","Yes"
"45","153.4612495199788","138.1788453510672","0.053466796875","0.046142578125","0.060791015625","1560","0.0005186796052558246","24","0.0005186796052558246","0","0.0005186796052558246","0.0005186796052558246","44:68;46:68;37:68","44:0.002059058721773227;46:0.0025388680925406415;37:0.00201139332983169","44:0.0019059865958519218;46:0.0028365087785340304;37:0.0017242405139621664","0.053466796875","Yes"
"46","85.98913325617133","12.16456340688764","0.0081787109375","0.00830078125","0.008056640625","1560","0.0004343525811707473","24","0.0004343525811707473","0","0.0004343525811707473","0.0004343525811707473","45:68;47:68","45:0.0025388680925406415;47:0.0024981440399909627","45:0.0028365087785340304;47:0.003012425650281453","0.0081787109375","Yes"
"47","193.23748930077056","65.01054112787095","0.03125","0.034912109375","0.027587890625","1560","0.0002840595604686908","24","0.0002840595604686908","0","0.0002840595604686908","0.0002840595604686908","48:68;57:68;46:68","48:0.0020204672683208635;57:0.007523114143773657;46:0.0024981440399909627","48:0.0021840326053352843;57:0.011656575247030482;46:0.003012425650281453","0.03125","Yes"
"48","189.88049621514043","46.546500737386914","0.005615234375","0.00634765625","0.0048828125","1560","0.00022894340418236215","24","0.00022894340418236215","0","0.00022894340418236215","0.00022894340418236215","47:68;49:68","47:0.0020204672683208635;49:0.0026038172982105756","47:0.0021840326053352843;49:0.006110848886939468","0.005615234375","Yes"
"49","102.25228691647216","28.845583825900334","0.044677734375","0.046630859375","0.042724609375","1560","0.0002897363997264185","24","0.0002897363997264185","0","0.0002897363997264185","0.0002897363997264185","48:68;50:68;38:68","48:0.0026038172982105756;50:0.0026501439767559754;38:0.002868283730518867","48:0.006110848886939468;50:0.0021124893698695746;38:0.0024169099667123717","0.044677734375","Yes"
"50","90.99731324095133","93.52608351697755","0.007568359375","0.01025390625","0.0048828125","1560","0.0002862185625130844","24","0.0002862185625130844","0","0.0002862185625130844","0.0002862185625130844","49:68;51:68","49:0.0026501439767559754;51:0.0024335837837123064","49:0.0021124893698695746;51:0.002460743051542591","0.007568359375","Yes"
"51","126.48240731278003","93.71812381270104","0.0811767578125","0.091796875","0.070556640625","1560","0.0002616741256572473","24","0.0002616741256572473","0","0.0002616741256572473","0.0002616741256572473","50:68;52:68;58:68","50:0.0024335837837123064;52:0.0016916457586829137;58:0.0024578291885572756","50:0.002460743051542591;52:0.0034725201287154617;58:0.006150383655905534","0.0811767578125","Yes"
"52","125.99288250090252","108.2194909975084","0.0133056640625","0.019775390625","0.0068359375","1560","0.0002657025204960226","24","0.0002657025204960226","0","0.0002657025204960226","0.0002657025204960226","51:68;53:68","51:0.0016916457586829137;53:0.0023824025366822876","51:0.0034725201287154617;53:0.002142339791480513","0.0133056640625","Yes"
"53","91.6159052461899","13.76317914098642","0.0443115234375","0.0458984375","0.042724609375","1560","0.00018705204818621768","24","0.00018705204818621768","0","0.00018705204818621768","0.00018705204818621768","39:68;52:68;54:68","39:0.006969627756701929;52:0.0023824025366822876;54:0.004083167948067373","39:0.005107404423581707;52:0.002142339791480513;54:0.0036856668486573707","0.0443115234375","Yes"
"54","194.12311977764082","66.83058549829711","0.00830078125","0.0146484375","0.001953125","1560","0.0012595316739760797","24","0.0012595316739760797","0","0.0012595316739760797","0.0012595316739760797","53:68;55:68","53:0.004083167948067373;55:0.0034753517830720393","53:0.0036856668486573707;55:0.004527661024171181","0.00830078125","Yes"
"55","114.72286037235159","138.88378646457235","0.0482177734375","0.059326171875","0.037109375","1560","0.00047467270683976325","24","0.00047467270683976325","0","0.00047467270683976325","0.00047467270683976325","59:68;54:68","59:0.0018437500319692657;54:0.0034753517830720393","59:0.0023789430827142466;54:0.004527661024171181","0.0482177734375","Yes"
"56","157.79292761993213","180.6695965988752","0.01171875","0.013671875","0.009765625","1560","0.0003806871245302698","24","0.0003806871245302698","0","0.0003806871245302698","0.0003806871245302698","63:68;43:68","63:0.005506186317877193;43:0.0050400049397820446","63:0.005530493933598862;43:0.005793741016838605","0.01171875","Yes"
"57","77.10892445543051","29.374197731224672","0.01171875","0.0166015625","0.0068359375","1560","0.0009318103308071666","24","0.0009318103308071666","0","0.0009318103308071666","0.0009318103308071666","47:68;67:68","47:0.007523114143773657;67:0.015244571276458285","47:0.011656575247030482;67:0.017227708602307046","0.01171875","Yes"
"58","139.232881044026","133.69752478946106","0.0089111328125","0.011962890625","0.005859375","1560","0.000265980570175192","24","0.000265980570175192","0","0.000265980570175192","0.000265980570175192","71:68;51:68","71:0.002194593913025511;51:0.0024578291885572756","71:0.0016304234482957813;51:0.006150383655905534","0.0089111328125","Yes"
"59","150.51197537164228","131.37462552388305","0.0059814453125","0.009033203125","0.0029296875","1560","0.0004947749021953075","24","0.0004947749021953075","0","0.0004947749021953075","0.0004947749021953075","55:68;75:68","55:0.0018437500319692657;75:0.002047201003379462","55:0.0023789430827142466;75:0.002600979826241856","0.0059814453125","Yes"
"60","194.17504348868377","43.989563500274016","0.061767578125","0.0556640625","0.06787109375","1560","0.00026090694117824324","24","0.00026090694117824324","0","0.00026090694117824324","0.00026090694117824324","61:68","61:0.002778236184910743","61:0.0015832439339216742","0.061767578125","Yes"
